Platform,Brand,Acquisition Year,Industry,Franchise Status,Website URL,Notes
Driven Brands,AAMCO,2018,Automotive,Franchise,https://www.aamco.com,Transmission specialists
Driven Brands,Avis,2012,Car Rental,Franchise,https://www.avis.com,Vehicle rental service
Driven Brands,Budget,2012,Car Rental,Franchise,https://www.budget.com,Economy vehicle rental
Driven Brands,Hertz,2012,Car Rental,Franchise,https://www.hertz.com,Car rental service
Driven Brands,Zipcar,2013,Car Sharing,Franchise,https://www.zipcar.com,Car sharing platform
Driven Brands,Alamo,2012,Car Rental,Franchise,https://www.alamo.com,Regional car rental
Driven Brands,National,2012,Car Rental,Franchise,https://www.nationalcar.com,Premium car rental
Driven Brands,Enterprise Rent-A-Car,2012,Car Rental,Franchise,https://www.enterprise.com,Full-service car rental
Driven Brands,Mosquito Joe,2020,Pest Control,Franchise,https://www.mosquito-joe.com,Mosquito and pest control
Driven Brands,Wyle Electronics,2018,Electronics Distribution,Franchise,https://www.wyle.com,IT hardware and electronics
Driven Brands,Vanguard Car Rental,2018,Car Rental,Franchise,https://www.vanguardcar.com,Specialty car rental
Inspire Brands,Arby's,2018,Quick Service Restaurant,Franchise,https://www.arbys.com,Roast beef sandwiches
Inspire Brands,Dunkin',2020,Quick Service Restaurant,Franchise,https://www.dunkindonuts.com,Coffee and donuts chain
Inspire Brands,Buffalo Wild Wings,2018,Casual Dining,Franchise,https://www.buffalowildwings.com,Sports bar and wings
Inspire Brands,Sonic Drive-In,2018,Quick Service Restaurant,Franchise,https://www.sonicdrivein.com,Drive-in fast food
Inspire Brands,Popeyes,2019,Quick Service Restaurant,Franchise,https://www.popeyes.com,Chicken specialty
Inspire Brands,Jimmy John's,2019,Quick Service Restaurant,Franchise,https://www.jimmyjohns.com,Fast casual sandwiches
Inspire Brands,Sweeet Frog,2012,Quick Service Restaurant,Franchise,https://www.sweetfrogfroyo.com,Frozen yogurt chain
Inspire Brands,Baskin-Robbins,2020,Dessert,Franchise,https://www.baskinrobbins.com,Ice cream chain
Focus Brands,Cinnabon,2013,Dessert,Franchise,https://www.cinnabon.com,Cinnamon roll specialty
Focus Brands,Auntie Anne's,2013,Quick Service Restaurant,Franchise,https://www.auntieannes.com,Pretzel chain
Focus Brands,Moe's Southwest Grill,2013,Casual Dining,Franchise,https://www.moesouthwestgrill.com,Mexican cuisine
Focus Brands,McAlister's Deli,2013,Casual Dining,Franchise,https://www.mcalistersdeli.com,Sandwich and deli
Focus Brands,Schlotzsky's,2013,Quick Service Restaurant,Franchise,https://www.schlotzskys.com,Specialty sandwiches
Focus Brands,Carvel,2013,Dessert,Franchise,https://www.carvel.com,Ice cream and cakes
Focus Brands,Jamba Juice,2006,Juice Bar,Franchise,https://www.jambajuice.com,Smoothies and juices
Self Esteem Brands,Orangetheory,2016,Fitness,Franchise,https://www.orangetheory.com,Heart rate training studio
Self Esteem Brands,CycleBar,2018,Fitness,Franchise,https://www.cyclebar.com,Indoor cycling studio
Self Esteem Brands,LifeTime,2015,Fitness,Franchise,https://www.lifetime.com,Premium fitness center
Self Esteem Brands,Sunshine Massage,2019,Wellness,Franchise,https://www.sunshinemassage.com,Massage therapy
ServiceMaster Brands,ServiceMaster Clean,1995,Commercial Cleaning,Franchise,https://www.servicemaster.com,Professional cleaning services
ServiceMaster Brands,American Home Shield,1999,Home Warranty,Franchise,https://www.ahs.com,Home protection plan
ServiceMaster Brands,Terminix,1994,Pest Control,Franchise,https://www.terminix.com,Pest control services
ServiceMaster Brands,ServiceMaster Restore,2000,Property Restoration,Franchise,https://www.servicemaster-restore.com,Fire and water restoration
ServiceMaster Brands,TruGreen,1993,Lawn Care,Franchise,https://www.trugreen.com,Landscaping services
ServiceMaster Brands,Merry Maids,1996,Residential Cleaning,Franchise,https://www.merrymaids.com,House cleaning service
Pet Retail Brands,Pet Supplies Plus,2015,Pet Retail,Franchise,https://www.petsuppliesplus.com,Pet supply store chain
Pet Retail Brands,Petsite,2018,Pet Retail,Franchise,https://www.petsite.com,Online pet supplies
Pet Retail Brands,Pet Smart Grooming,2016,Pet Services,Franchise,https://www.petsmart.com,Pet grooming services
Standalone,Subway,2014,Quick Service Restaurant,Franchise,https://www.subway.com,Customizable sandwich chain
Standalone,Nothing Bundt Cakes,2016,Dessert,Franchise,https://www.nothingbundtcakes.com,Bundt cake specialist
Standalone,Firehouse Subs,2020,Quick Service Restaurant,Franchise,https://www.firehousesubs.com,Specialty submarine sandwiches
Standalone,Tropical Smoothie Cafe,2018,Quick Service Restaurant,Franchise,https://www.tropicalsmoothiecafe.com,Smoothie and food cafe
Standalone,Corner Bakery Cafe,2011,Casual Dining,Franchise,https://www.cornerbakerycafe.com,Bakery cafe
Standalone,Taco Cabana,2008,Quick Service Restaurant,Franchise,https://www.tacocabana.com,Mexican quick service
Standalone,Whataburger,2019,Quick Service Restaurant,Franchise,https://www.whataburger.com,Regional burger chain
Standalone,Torchys Tacos,2021,Quick Service Restaurant,Franchise,https://www.torchys.com,Gourmet taco specialist
Standalone,MOD Pizza,2019,Quick Service Restaurant,Franchise,https://www.modpizza.com,Individual pizza pizzeria
Platform Unknown,Culver's,2021,Casual Dining,Franchise,https://www.culvers.com,Midwest burger and custard chain
Platform Unknown,International Franchise Concepts,2019,Various,Franchise,https://www.ifcbrands.com,Diversified franchise portfolio
